metros_cuadrados,habitaciones,precio_alquiler,barrio,precio_barrio,precio_metro_cuadrado,precio_habitacion,precio_metro_habitacion
279.0,4,2417,"Ciudad Lineal, Madrid",388.4214285714286,8.663082437275985,604.25,2.1657706093189963
110.0,3,1235,"Concepción, Madrid",1230.851851851852,11.227272727272727,411.6666666666667,3.742424242424242
396.0,5,2017,"Ciudad Lineal, Madrid",388.4214285714286,5.093434343434343,403.4,1.0186868686868686
239.0,4,1897,"Quintana, Madrid",1027.0258620689656,7.937238493723849,474.25,1.9843096234309623
60.0,2,762,"Ventas, Madrid",908.5194805194806,12.7,381.0,6.35
104.0,4,1135,"Ventas, Madrid",908.5194805194806,10.913461538461538,283.75,2.7283653846153846
150.0,4,2230,"San Juan Bautista, Madrid",1160.8461538461538,14.866666666666667,557.5,3.716666666666667
90.0,3,1067,"Pueblo Nuevo, Madrid",962.0460992907801,11.855555555555556,355.6666666666667,3.9518518518518517
120.0,4,1200,"Concepción, Madrid",1230.851851851852,10.0,300.0,2.5
254.0,3,1900,"Atalaya, Madrid",1920.7777777777778,7.480314960629921,633.3333333333334,2.493438320209974
70.0,2,1195,"Quintana, Madrid",1027.0258620689656,17.071428571428573,597.5,8.535714285714286
76.0,3,916,"Ventas, Madrid",908.5194805194806,12.052631578947368,305.3333333333333,4.017543859649122
120.0,3,1485,"Quintana, Madrid",1027.0258620689656,12.375,495.0,4.125
71.0,3,1161,"Quintana, Madrid",1027.0258620689656,16.35211267605634,387.0,5.450704225352113
70.0,3,833,"Quintana, Madrid",1027.0258620689656,11.9,277.6666666666667,3.966666666666667
77.0,3,1066,"Quintana, Madrid",1027.0258620689656,13.844155844155845,355.3333333333333,4.6147186147186146
396.0,5,2017,"San Pascual, Madrid",1339.9,5.093434343434343,403.4,1.0186868686868686
64.0,1,1197,"Concepción, Madrid",1230.851851851852,18.703125,1197.0,18.703125
62.0,2,780,"Ventas, Madrid",908.5194805194806,12.580645161290322,390.0,6.290322580645161
67.0,3,798,"Pueblo Nuevo, Madrid",962.0460992907801,11.91044776119403,266.0,3.970149253731343
158.0,4,2181,"San Pascual, Madrid",1339.9,13.80379746835443,545.25,3.4509493670886076
117.0,3,1546,"Costillares, Madrid",1403.5454545454545,13.213675213675213,515.3333333333334,4.404558404558404
103.0,4,1287,"Concepción, Madrid",1230.851851851852,12.495145631067961,321.75,3.1237864077669903
85.0,2,1094,"Ciudad Lineal, Madrid",388.4214285714286,12.870588235294118,547.0,6.435294117647059
101.0,4,1249,"Ciudad Lineal, Madrid",388.4214285714286,12.366336633663366,312.25,3.0915841584158414
345.0,5,94,"Colina, Madrid",1610.640625,0.27246376811594203,18.8,0.05449275362318841
118.0,3,1414,"Pueblo Nuevo, Madrid",962.0460992907801,11.983050847457626,471.3333333333333,3.994350282485876
72.0,3,1009,"Quintana, Madrid",1027.0258620689656,14.01388888888889,336.3333333333333,4.671296296296297
72.0,2,1242,"Pueblo Nuevo, Madrid",962.0460992907801,17.25,621.0,8.625
94.0,3,1473,"Pueblo Nuevo, Madrid",962.0460992907801,15.670212765957446,491.0,5.223404255319149
94.0,3,1439,"Pueblo Nuevo, Madrid",962.0460992907801,15.308510638297872,479.6666666666667,5.102836879432624
50.0,2,725,"Pueblo Nuevo, Madrid",962.0460992907801,14.5,362.5,7.25
60.0,2,805,"Quintana, Madrid",1027.0258620689656,13.416666666666666,402.5,6.708333333333333
60.0,2,851,"Quintana, Madrid",1027.0258620689656,14.183333333333334,425.5,7.091666666666667
72.0,3,1064,"Quintana, Madrid",1027.0258620689656,14.777777777777779,354.6666666666667,4.925925925925926
88.0,3,813,"Pueblo Nuevo, Madrid",962.0460992907801,9.238636363636363,271.0,3.0795454545454546
67.0,2,942,"Ventas, Madrid",908.5194805194806,14.059701492537313,471.0,7.029850746268656
77.0,2,933,"Concepción, Madrid",1230.851851851852,12.116883116883116,466.5,6.058441558441558
72.0,3,910,"Concepción, Madrid",1230.851851851852,12.63888888888889,303.3333333333333,4.212962962962963
99.0,3,1174,"Pueblo Nuevo, Madrid",962.0460992907801,11.858585858585858,391.3333333333333,3.952861952861953
310.0,4,1804,"Pueblo Nuevo, Madrid",962.0460992907801,5.819354838709677,451.0,1.4548387096774194
74.0,3,816,"Pueblo Nuevo, Madrid",962.0460992907801,11.027027027027026,272.0,3.675675675675676
75.0,3,851,"Pueblo Nuevo, Madrid",962.0460992907801,11.346666666666666,283.6666666666667,3.7822222222222224
119.0,2,1747,"Ciudad Lineal, Madrid",388.4214285714286,14.680672268907562,873.5,7.340336134453781
279.0,4,2349,"Ciudad Lineal, Madrid",388.4214285714286,8.419354838709678,587.25,2.1048387096774195
113.0,2,916,"Ventas, Madrid",908.5194805194806,8.106194690265486,458.0,4.053097345132743
112.0,2,2410,"Colina, Madrid",1610.640625,21.517857142857142,1205.0,10.758928571428571
104.0,3,2452,"Colina, Madrid",1610.640625,23.576923076923077,817.3333333333334,7.858974358974359
151.0,4,2457,"Colina, Madrid",1610.640625,16.271523178807946,614.25,4.067880794701987
179.0,4,2170,"Concepción, Madrid",1230.851851851852,12.12290502793296,542.5,3.03072625698324
59.0,3,664,"Pueblo Nuevo, Madrid",962.0460992907801,11.254237288135593,221.33333333333334,3.751412429378531
80.0,3,1066,"Ventas, Madrid",908.5194805194806,13.325,355.3333333333333,4.441666666666666
77.0,3,798,"Quintana, Madrid",1027.0258620689656,10.363636363636363,266.0,3.4545454545454546
85.0,3,948,"Quintana, Madrid",1027.0258620689656,11.152941176470588,316.0,3.7176470588235295
78.0,1,780,"Concepción, Madrid",1230.851851851852,10.0,780.0,10.0
70.0,3,913,"Concepción, Madrid",1230.851851851852,13.042857142857143,304.3333333333333,4.347619047619047
69.0,3,780,"Ventas, Madrid",908.5194805194806,11.304347826086957,260.0,3.7681159420289854
65.0,3,948,"Concepción, Madrid",1230.851851851852,14.584615384615384,316.0,4.861538461538461
107.0,3,2333,"Pueblo Nuevo, Madrid",962.0460992907801,21.80373831775701,777.6666666666666,7.26791277258567
71.0,3,798,"Ciudad Lineal, Madrid",388.4214285714286,11.23943661971831,266.0,3.7464788732394365
181.0,5,2081,"Costillares, Madrid",1403.5454545454545,11.497237569060774,416.2,2.299447513812155
226.0,4,2234,"Ciudad Lineal, Madrid",388.4214285714286,9.88495575221239,558.5,2.4712389380530975
86.0,3,1299,"San Juan Bautista, Madrid",1160.8461538461538,15.104651162790697,433.0,5.034883720930233
100.0,2,1146,"Pueblo Nuevo, Madrid",962.0460992907801,11.46,573.0,5.73
158.0,3,2012,"Atalaya, Madrid",1920.7777777777778,12.734177215189874,670.6666666666666,4.244725738396625
